"feedback","translation"
"Není to člověk, má čepici a sedí.","It’s not a person, it has a hat, and it’s sitting."
"V modrém má být víc než v červeném.","There should be more in blue than in red."
"Všechny mezi vrtulníkem a hrošíkem.","All the ones between the helicopter and the little hippo."
"Co znamená hned za druhým?","What does right after the second one mean?"
"Když je to zvíře, tak co to znamená?","If it’s an animal, what does that mean?"
"Vpravo uprostřed. Víš, co znamená vpravo uprostřed?","On the right in the middle. Do you know what on the right in the middle means?"
"Co znamená všechny mezi bonbónem a jahodou?","What does all the ones between the candy and the strawberry mean?"
"Co znamená všechny mezi listem a lízátkem?","What does “all between the leaf and the lollipop” mean?"
"Když v modrém má být méně, tak v červeném musí být víc?","If there should be fewer in the blue, does that mean there must be more in the red?"
"V šedém rámečku je sedm obrázků. Kde je o dva obrázky méně?","There are seven pictures in the gray box. Where are there two pictures less?"
"Všechny mezi labutí a kočkou.","All between the swan and the cat."
"Hned před šestým.","Right before the sixth one."
"Kde je kachna a kukuřice? Vyber všechny obrázky, které jsou mezi nimi.","Where are the duck and the corn? Pick all the pictures that are between them."
"Všechny mezi pavučinou a lanovkou.","All between the spiderweb and the cable car."
"Kde je pavučina a lanovka? Vyber obrázek, který je mezi nimi.","Where are the spiderweb and the cable car? Pick the picture that is between them."
"Vpravo uprostřed – víš, co to znamená?","On the right in the middle – do you know what that means?"
"Co znamená všechny mezi prasátkem a květinou?","What does “all between the piglet and the flower” mean?"
"Když to není člověk, tak to může být třeba zvíře nebo věc.","If it’s not a person, it could be an animal or a thing."
"Kde je vejce a netopýr? Vyber všechny obrázky, které jsou mezi nimi.","Where are the egg and the bat? Choose all the pictures that are between them."
"Co znamená mít srst?","What does it mean to have fur?"
"Це була першокласна робота!","That was first-class work!"
"Послухайте звук числа біля локомотиву. Перетягни правильні вагони до локомотиву, які відповідають його звуку.","Listen to the sound of the number next to the locomotive. Drag the right wagons to the locomotive that match its sound."
"Všechny mezi kachnou a brokolicí.","All the ones between the duck and the broccoli."
"Co znamená všechny mezi psem a mrkví?","What does it mean, all the ones between the dog and the carrot?"
"Všechny mezi osmým a desátým.","All the ones between the eighth and the tenth."
"Усі перед останньою.","All the ones before the last one."
"První už znáš. Který je hned za ním?","You already know the first one. Which one comes right after it?"
"Hledáš větší než jedna.","You’re looking for more than one."
"Co znamená hned za třetím obrázkem?","What does it mean right after the third picture?"
"Víš, který obrázek je třetí? Vyber obrázek hned za ním.","Do you know which picture is third? Choose the picture right after it."
"Co znamená držet ovoce?","What does it mean to hold fruit?"
"Nestačí jen více, ale přesně o dva více musí být obrázků v červeném rámečku než v modrém.","It’s not enough to just have more—there must be exactly two more pictures in the red box than in the blue box."
"Kde je autobus a zmrzlina? Vyber obrázek, který je mezi nimi.","Where is the bus and the ice cream? Choose the picture that is between them."
"Zkus najít rámeček, kde jsou tři obrázky.","Try to find the box with three pictures."
"Není to zvíře znamená, že to nemůže být žádné zvíře.","Not an animal means it can’t be any animal."
"Všechny mezi okurkou a zebrou.","All the ones between the cucumber and the zebra."
"Kde je okurka a zebra? Vyber obrázek, který je mezi nimi.","Where is the cucumber and the zebra? Choose the picture that is between them."
"Víš jistě, že máš v modrém rámečku o dva obrázky více než v červeném?","Are you sure you have two more pictures in the blue box than in the red box?"
"Co znamená všechny mezi motýlem a princeznou?","What does “all between the butterfly and the princess” mean?"
"Mít zobák znamená mít na hlavě tvrdou špičatou věc místo pusy.","Having a beak means having a hard, pointy thing on your head instead of a mouth."
"Všechny mezi kukuřicí a tramvají.","All between the corn and the tram."
"Sedí znamená, že má zadeček na zemi nebo na židli.","“Sitting” means your bottom is on the ground or on a chair."
"Kde je drak a meloun? Vyber obrázek, který je mezi nimi.","Where are the dragon and the watermelon? Pick the picture that is between them."
"Co znamená být na trávě?","What does it mean to be on the grass?"
"Být na trávě znamená, že něco leží nebo roste na zelené měkké zemi.","Being on the grass means something is lying or growing on the soft, green ground."
"Co znamená všechny mezi labutí a taškou?","What does “all between the swan and the bag” mean?"
"Všechny mezi listem a bonbónem.","All between the leaf and the candy."
"Všechny mezi rostlinou a jahodou.","All the ones between the plant and the strawberry."
"Hned před pátým.","Right before the fifth one."
"Kde je jelen a kde je kukuřice? Vyber všechny obrázky, které jsou mezi nimi.","Where is the deer and where is the corn? Choose all the pictures that are between them."
"Внизу посередині.","In the middle at the bottom."
"Ти знаєш, де остання картинка? Які всі картинки перед нею?","Do you know where the last picture is? Which pictures are in front of it?"
"Všechny mezi labutí a šaty.","All the ones between the swan and the dress."
"Це не тварина, без капелюха, і вона стоїть.","It’s not an animal, it doesn’t have a hat, and it’s standing."
"Co znamená mít ruce?","What does it mean to have hands?"
"V šedém rámečku je sedm obrázků. Kde je o jeden obrázek méně?","There are seven pictures in the gray box. Where is there one picture less?"
"Co znamená všechny mezi psem a jahodou?","What does “all the ones between the dog and the strawberry” mean?"
"Kde je okurka a kýbl? Vyber všechny obrázky, které jsou mezi nimi.","Where is the cucumber and the bucket? Choose all the pictures that are between them."
"Když v červeném má být o jeden méně, tak v modrém musí být kolik?","If there should be one less in the red, how many must there be in the blue?"
"Kde je pavučina a motýl? Vyber obrázek, který je mezi nimi.","Where is the spider web and the butterfly? Choose the picture that is between them."
"Když nemůžeš ubrat z modrého, co uděláš s obrázky v červeném?","If you can’t take any away from the blue, what will you do with the pictures in the red?"
"Všechny mezi vejcem a psem.","All the ones between the egg and the dog."
"Všechny mezi listnatým stromem a ovcí.","All the ones between the leafy tree and the sheep."
"Де качка і морозиво? Вибери всі картинки, які між ними.","Where is the duck and the ice cream? Choose all the pictures that are between them."
"У червоній і синій частині має бути однакова кількість картинок.","There should be the same number of pictures in the red and blue parts."
"Коли в синій має бути більше, то скільки має бути у червоній?","If there should be more in the blue one, how many should there be in the red one?"
"Знайди локомотив зі звуком числа чотири. Ти точно знаєш, що в нього є вагончики з чотирма малюнками і з числом чотири?","Find the train with the sound of the number four. Are you sure it has carriages with four pictures and the number four?"
"Všechny mezi žirafou a zmrzlinou.","All the ones between the giraffe and the ice cream."
"Jsi si jistý, že máš v modrém i červeném rámečku stejný počet obrázků?","Are you sure you have the same number of pictures in the blue and red boxes?"
"Všechny mezi brokolicí a zebrou.","All the ones between the broccoli and the zebra."
"Víš, který obrázek je sedmý? Vyber obrázek hned za ním.","Do you know which picture is seventh? Pick the picture right after it."
"Všechny mezi pavučinou a kukuřicí.","All the ones between the spider web and the corn."
"Co znamená všechny mezi pavoukem a jednorožcem?","What does it mean, all the ones between the spider and the unicorn?"
"Létat znamená být ve vzduchu a hýbat se tam jako pták.","To fly means to be in the air and move around like a bird."
"Co znamená hned před desátým?","What does it mean, right before the tenth one?"
"Kde je listnatý strom a svíčka? Vyber všechny obrázky, které jsou mezi nimi.","Where is the leafy tree and the candle? Select all the pictures that are between them."
"Květiny, které jsou ve vodě.","Flowers that are in the water."
"Co znamená být ve vodě?","What does it mean to be in the water?"
"Kde je jednorožec a hrošík? Vyber obrázky, které jsou mezi nimi.","Where is the unicorn and the little hippo? Select the pictures that are between them."
"Kde je dort a kde je mrkev? Vyber obrázek, který je mezi nimi.","Where is the cake and where is the carrot? Select the picture that is between them."
"Všechny mezi labutí a ovcí.","All the ones between the swan and the sheep."
"Co znamená všechny mezi tričkem a princeznou?","What does it mean, all the ones between the t-shirt and the princess?"
"Co znamená všechny mezi medvídkem a kýblem?","What does it mean, all the ones between the teddy bear and the bucket?"
"Všechny mezi jehličnatým stromem a diamantem.","All the ones between the pine tree and the diamond."
"Kde je jehličnatý strom a diamant? Vyber všechny obrázky, které jsou mezi nimi.","Where is the pine tree and the diamond? Select all the pictures that are between them."
"Co znamená všechny mezi mouchou a kyticí?","What does “all between the fly and the bouquet” mean?"
"Všechny mezi brokolicí a trumpetou.","All between the broccoli and the trumpet."
"Kde je kráva a dort? Vyber všechny obrázky, které jsou mezi nimi.","Where is the cow and the cake? Choose all the pictures that are between them."
"Тобі потрібно на одне більше ніж у сірій.","You need one more than in the gray one."
"Všechny mezi okurkou a kočkou.","All between the cucumber and the cat."
"Con vật đội mũ và không đứng.","The animal is wearing a hat and is not standing."
"Khi là con vật thì đó là gì?","When it’s an animal, what is it?"
"Ở giữa bên trái.","In the middle on the left."
"Bên trái ở giữa có nghĩa là bức tranh nằm ở phía bên trái và ở giữa, không ở trên cùng cũng không ở dưới cùng.","“On the left in the middle” means the picture is on the left side and in the middle—not at the top or the bottom."
"Các toa tàu có cùng số phải ở chung một chuyến tàu.","Train cars with the same number must be on the same train."
"Dựa vào cái gì mà các bức tranh thay đổi?","What makes the pictures change?"
"Спробуй ще раз.","Try again."
"Všechny mezi labutí a tramvají.","All the ones between the swan and the tram."
"Kde je pavučina a pes? Vyber obrázek, který je mezi nimi.","Where is the spider web and the dog? Choose the picture that is between them."
"Všechny mezi bonbónem a mrkví.","All the ones between the candy and the carrot."
"Všechny mezi divokým prasetem a hrošíkem.","All the ones between the wild boar and the hippo."
"Všechny mezi motýlem a balónkem.","All the ones between the butterfly and the balloon."
"Co znamená všechny mezi pavučinou a melounem?","What does “all the ones between the spider web and the watermelon” mean?"
"Co znamená všechny mezi tričkem a zmrzlinou?","What does “all the ones between the T-shirt and the ice cream” mean?"
"Být na trávě znamená, že zvíře stojí nebo leží na zelené měkké zemi.","Being on the grass means the animal is standing or lying on the soft, green ground."
"Všechny mezi žirafou a jahodou.","All the ones between the giraffe and the strawberry."
"Co znamená všechny mezi ovcí a netopýrem?","What does it mean, all the ones between the sheep and the bat?"
"Všechny mezi mouchou a diamantem.","All the ones between the fly and the diamond."
"Hledáš menší než pět.","You’re looking for less than five."
"Co znamená mezi jablkem a autobusem?","What does it mean, between the apple and the bus?"
"Kde je medvídek a kde je kytice? Vyber obrázek, který je mezi nimi.","Where is the teddy bear and where is the bouquet? Pick the picture that is between them."
"Když je to člověk, tak to není zvíře.","If it’s a person, then it’s not an animal."
"Хоёуланд нь ижил тооны зурагтай болгохын тулд яах вэ?","What should you do so that both groups have the same number of pictures?"
"Улаанд цэнхэрээс олон зураг байх ёстой.","There should be more pictures in red than in blue."
"Những con vật có cánh.","Animals with wings."
"Ở giữa phía trên.","In the middle at the top."
"Tất cả các hình trước hình cuối cùng.","All the pictures before the last one."
"Kde je vrtulník a dort? Vyber všechny obrázky, které jsou mezi nimi.","Where is the helicopter and the cake? Select all the pictures that are between them."
"Co znamená všechny mezi jehličnatým stromem a kukuřicí?","What does it mean, all between the pine tree and the corn?"
"Mít peří znamená mít na těle jemné chloupky, které jsou měkké a pomáhají třeba létat.","Having feathers means having soft little hairs on your body that are gentle and help you fly."
"Kde je okurka a medvídek? Vyber všechny obrázky, které jsou mezi nimi.","Where is the cucumber and the teddy bear? Select all the pictures that are between them."
"Všechny mezi tričkem a šaty.","All between the T-shirt and the dress."
"Všechny mezi vejcem a květinou.","All between the egg and the flower."
"Všechny mezi dortem a melounem.","All the pictures between the cake and the watermelon."
"Všechny mezi drakem a kyticí.","All the pictures between the dragon and the bouquet."
"Všechny mezi tričkem a bonbónem.","All the pictures between the T-shirt and the candy."
"Zvířata, která drží ovoce.","Animals that are holding fruit."
"Co znamená všechny mezi farmářem a listem?","What does “all the pictures between the farmer and the leaf” mean?"
"Co znamená všechny mezi šestým a devátým obrázkem?","What does “all the pictures between the sixth and the ninth picture” mean?"
"V šedém rámečku je deset obrázků. Kde je o dva obrázky méně?","There are ten pictures in the gray box. Where are there two pictures less?"
"Všechny mezi labutí a trumpetou.","All the pictures between the swan and the trumpet."
"Není to zvíře znamená, že to není žádné zvíře, ale třeba člověk nebo věc.","“It’s not an animal” means it isn’t any animal, but maybe a person or a thing."
"Všechny mezi lízátkem a kukuřicí.","All the pictures between the lollipop and the corn."
"Všechny mezi brokolicí a psem.","All the pictures between the broccoli and the dog."
"Kde je jehličnatý strom a jelen? Vyber obrázek, který je mezi nimi.","Where is the pine tree and the deer? Choose the picture that is between them."
"Když je to zvíře, tak to není člověk.","If it’s an animal, then it’s not a person."
"V šedém rámečku je devět obrázků. Kde je o jeden obrázek méně?","There are nine pictures in the gray box. Where is there one picture less?"
"Všechny mezi kočkou a princeznou.","All the pictures between the cat and the princess."
"Kde je kočka a princezna? Vyber všechny obrázky, které jsou mezi nimi.","Where is the cat and the princess? Choose all the pictures that are between them."
"Všechny mezi vejcem a salátem.","All the pictures between the egg and the lettuce."
"Všechny mezi jablkem a psem.","All the pictures between the apple and the dog."
"Kde je jablko a pes? Vyber všechny obrázky, které jsou mezi nimi.","Where is the apple and the dog? Choose all the pictures that are between them."
"Kde je okurka a taška? Vyber všechny obrázky, které jsou mezi nimi.","Where is the cucumber and the bag? Choose all the pictures that are between them."
"Co znamená všechny mezi listem a tramvají?","What does “all between the leaf and the tram” mean?"
"Kde je prasátko a pavučina? Vyber obrázek, který je mezi nimi.","Where is the piglet and the spider web? Choose the picture that is between them."
"Kde je šestý obrázek a osmý obrázek? Vyber obrázky, které jsou mezi nimi.","Where is the sixth picture and the eighth picture? Choose the pictures that are between them."
"Víš, který obrázek je druhý? Vyber obrázek hned za ním.","Do you know which picture is second? Choose the picture right after it."
"Všechny mezi autobusem a květinou.","All between the bus and the flower."
"Co znamená mezi autobusem a květinou?","What does “between the bus and the flower” mean?"
"Všechny mezi housenkou a kuřecím stehnem.","All between the caterpillar and the chicken drumstick."
"Co znamená všechny mezi jelenem a zmrzlinou?","What does “all between the deer and the ice cream” mean?"
"Všechny mezi labutí a svíčkou.","All between the swan and the candle."
"Co znamená všechny mezi jelenem a mrkví?","What does “all between the deer and the carrot” mean?"
"Kde je pavouk a kde je trumpeta? Vyber všechny obrázky, které jsou mezi nimi.","Where is the spider and where is the trumpet? Choose all the pictures that are between them."
"Všechny mezi listnatým stromem a vrtulníkem.","All the pictures between the leafy tree and the helicopter."
"Všechny mezi pavučinou a vrtulníkem.","All the pictures between the spider web and the helicopter."
"Všechny mezi kuřecím stehnem a květinou.","All the pictures between the chicken leg and the flower."
"Všechny mezi kachnou a taškou.","All the pictures between the duck and the bag."
"Kde je kachna a taška? Vyber všechny obrázky, které jsou mezi nimi.","Where is the duck and the bag? Choose all the pictures that are between them."
"Všechny mezi listnatým stromem a okurkou.","All the pictures between the leafy tree and the cucumber."
"Kde je lízátko a meloun? Vyber obrázek, který je mezi nimi.","Where is the lollipop and the watermelon? Choose the picture that is between them."
"Kde je tričko a hrošík? Vyber všechny obrázky, které jsou mezi nimi.","Where is the t-shirt and the little hippo? Choose all the pictures that are between them."
"Co znamená všechny mezi krávou a netopýrem?","What does “all the pictures between the cow and the bat” mean?"
"Všechny mezi prasátkem a jahodou.","All the ones between the piglet and the strawberry."
"Všechny mezi šaty a diamantem.","All the ones between the dress and the diamond."
"Všechny mezi kočkou a mrkví.","All the ones between the cat and the carrot."
"Všechny mezi trumpetou a kukuřicí.","All the ones between the trumpet and the corn."
"Kde je trumpeta a kukuřice? Vyber obrázek, který je mezi nimi.","Where are the trumpet and the corn? Pick the picture that is between them."
"Co znamená všechny mezi kachnou a salátem?","What does “all the ones between the duck and the lettuce” mean?"
"Všechny mezi jablkem a lízátkem.","All the ones between the apple and the lollipop."
"Co znamená mezi labutí a hroznem?","What does “between the swan and the grapes” mean?"
"Všechny mezi mouchou a kočkou.","All the ones between the fly and the cat."
"Co znamená mezi okurkou a hrošíkem?","What does “between the cucumber and the hippo” mean?"
"Kde je tričko a kde je trumpeta? Vyber všechny obrázky, které jsou mezi nimi.","Where is the T-shirt and where is the trumpet? Select all the pictures that are between them."
"Co znamená devátý?","What does ninth mean?"
"Kde je moucha a netopýr? Vyber všechny obrázky, které jsou mezi nimi.","Where is the fly and the bat? Select all the pictures that are between them."
"Kde je lízátko a princezna? Vyber obrázek, který je mezi nimi.","Where is the lollipop and the princess? Select the picture that is between them."
"Zkus si pustit instrukci ještě jednou. Dej méně obrázků do červeného rámečku než do modrého.","Try listening to the instruction again. Put fewer pictures in the red box than in the blue box."
"Co znamená všechny mezi lízátkem a mrkví?","What does all between the lollipop and the carrot mean?"
"Všechny mezi bonbónem a svíčkou.","All between the candy and the candle."
"Všechny mezi kuřecím stehnem a netopýrem.","All between the chicken drumstick and the bat."
"Kde je kaštan a kuřecí stehno? Vyber obrázek, který je mezi nimi.","Where is the chestnut and the chicken drumstick? Select the picture that is between them."
"Điều đó có vẻ không đúng.","That doesn’t seem right."
"Thử lại đi.","Try again."
"Kde je pavučina a kde je meloun? Vyber všechny obrázky, které jsou mezi nimi.","Where is the spider web and where is the watermelon? Select all the pictures that are between them."
"Všechny mezi listnatým stromem a balónkem.","All the ones between the leafy tree and the balloon."
"Картинка одразу перед останньою.","The picture right before the last one."
"Ти впевнений, що в червоній частині менше, ніж у синій?","Are you sure there are fewer in the red part than in the blue part?"
"Víš jistě, že máš v červeném rámečku méně obrázků než v modrém?","Are you sure you have fewer pictures in the red box than in the blue one?"
"Všechny mezi farmářem a vrtulníkem.","All the ones between the farmer and the helicopter."
"Co znamená všechny mezi farmářem a vrtulníkem?","What does “all the ones between the farmer and the helicopter” mean?"
"Všechny mezi bonbónem a hrošíkem.","All the ones between the candy and the little hippo."
"Všechny mezi okurkou a drakem.","All the ones between the cucumber and the dragon."
"Kde je pavouk a svíčka? Vyber všechny obrázky, které jsou mezi nimi.","Where is the spider and the candle? Pick all the pictures that are between them."
"Co znamená mezi lanovkou a tramvají?","What does “between the cable car and the tram” mean?"
"Kde je lanovka a kde je tramvaj? Vyber obrázky, které jsou mezi nimi.","Where is the cable car and where is the tram? Pick the pictures that are between them."
"Všechny mezi listem a jednorožcem.","All the ones between the leaf and the unicorn."
"Co znamená všechny mezi listem a jednorožcem?","What does “all the ones between the leaf and the unicorn” mean?"
"Kde je brokolice a kočka? Vyber obrázek, který je mezi nimi.","Where is the broccoli and the cat? Pick the picture that is between them."
"Co znamená všechny mezi farmářem a psem?","What does “all the ones between the farmer and the dog” mean?"
"Co znamená všechny mezi kaštanem a květinou?","What does “all the ones between the chestnut and the flower” mean?"
"Všechny mezi žirafou a balónkem.","All the ones between the giraffe and the balloon."
"Kde je žirafa a balónek? Vyber obrázky, které jsou mezi nimi.","Where is the giraffe and the balloon? Choose the pictures that are between them."
"Všechny mezi prasátkem a dortem.","All the ones between the piglet and the cake."
"Všechny mezi ovcí a bonbónem.","All the ones between the sheep and the candy."
"Všechny mezi jelenem a kočkou.","All the ones between the deer and the cat."
"Де фермер і повітряна куля? Обери картинки, які між ними.","Where is the farmer and the hot air balloon? Choose the pictures that are between them."
"Všechny mezi prasátkem a psem.","All the ones between the piglet and the dog."
"Všechny mezi bonbónem a květinou.","All the ones between the candy and the flower."
"Kde je okurka a kde je jahoda? Vyber obrázek, který je mezi nimi.","Where is the cucumber and where is the strawberry? Choose the picture that is between them."
"Všechny mezi farmářem a netopýrem.","All the ones between the farmer and the bat."
"Эхний зураг гэж юу вэ?","Which picture is first?"
"Všechny mezi dortem a princeznou.","All the ones between the cake and the princess."
"Co znamená všechny mezi dortem a princeznou?","What does it mean, all the ones between the cake and the princess?"
"Co znamená mezi medvídkem a salátem?","What does it mean, between the teddy bear and the salad?"
"Co znamená všechny mezi kachnou a kelímkem?","What does it mean, all the ones between the duck and the cup?"
"Všechny mezi hroznem a tramvají.","All the ones between the grape and the tram."
"Všechny mezi taškou a zmrzlinou.","All the ones between the bag and the ice cream."
"V šedém rámečku je pět obrázků, takže hledáme rámeček se sedmi obrázky.","There are five pictures in the gray box, so we’re looking for a box with seven pictures."
"Všechny mezi vrtulníkem a kyticí.","All the ones between the helicopter and the bouquet."
"Co znamená všechny mezi vrtulníkem a kyticí?","What does it mean, all the ones between the helicopter and the bouquet?"
"Co znamená mezi ovcí a diamantem?","What does it mean to be between the sheep and the diamond?"
"Скільки там було картинок? Зараз ти бачиш два. Скільки їх бракує?","How many pictures were there? Now you see two. How many are missing?"
"Коли в червоній має бути на дві менше, то скільки буде в синій?","If there should be two fewer in the red one, how many will there be in the blue one?"
"Co znamená všechny mezi vrtulníkem a melounem?","What does it mean, all between the helicopter and the watermelon?"
"Kde je jehličnatý strom a dort? Vyber obrázek, který je mezi nimi.","Where is the pine tree and the cake? Pick the picture that is between them."
"Kde je okurka a jahoda? Vyber všechny obrázky, které jsou mezi nimi.","Where is the cucumber and the strawberry? Pick all the pictures that are between them."
"Усі між восьмою та десятою.","All between the eighth and the tenth."
"Kde je bonbón a balónek? Vyber obrázek, který je mezi nimi.","Where is the candy and the balloon? Pick the picture that is between them."
"Víš jistě, že máš v červeném více než v modrém?","Are you sure you have more in the red one than in the blue one?"
"Сүүлийн зурагнаас өмнөх зургийг сонгоорой. → Сүүлийн зурагнаас өмнөх зургийг сонго.","Pick the picture just before the last one. → Pick the picture just before the last one."
"Дугаар дөрөвтэй дуугардаг галт тэрэг олоорой. Чи түүний вагон дээр дөрвөн зураг, дөрөв гэсэн тоо байгаа гэдэгт итгэлтэй байна уу?","Find the train that makes the sound with the number four. Are you sure there are four pictures and the number four on its carriage?"
"Co znamená všechny mezi trumpetou a zmrzlinou?","What does ""all between the trumpet and the ice cream"" mean?"
"Giữa bắp và cà rốt có nghĩa là gì?","What does ""between the corn and the carrot"" mean?"
"Vpravo dole znamená vpravo dole. Víš, co to znamená?","Bottom right means bottom right. Do you know what that means?"
"Všechny mezi labutí a květinou.","All between the swan and the flower."
"Co znamená mezi rostlinou a salátem?","What does ""between the plant and the lettuce"" mean?"
"Všechny mezi motýlem a lízátkem.","All between the butterfly and the lollipop."
"Коли це людина, то хто це може бути?","If it’s a person, who could it be?"
"Праворуч посередині.","In the middle on the right."
"У сірій частині є два зображення. Де на два зображення більше?","There are two pictures in the gray part. Where are there two more pictures?"
"Všechny mezi housenkou a trumpetou.","All the ones between the caterpillar and the trumpet."
"Co znamená mezi housenkou a trumpetou?","What does “between the caterpillar and the trumpet” mean?"
"Kde je kachna a trumpeta? Vyber obrázek, který je mezi nimi.","Where is the duck and the trumpet? Choose the picture that is between them."
"Všechny mezi autobusem a kukuřicí.","All the ones between the bus and the corn."
"Co znamená všechny mezi pavučinou a kyticí?","What does “all the ones between the spider web and the bouquet” mean?"
"Kde je housenka a kelímek? Vyber obrázek, který je mezi nimi.","Where is the caterpillar and the cup? Choose the picture that is between them."
"Všechny mezi kočkou a jahodou.","All the ones between the cat and the strawberry."
"Kde je vejce a drak? Vyber obrázky, které jsou mezi nimi.","Where is the egg and the kite? Choose the pictures that are between them."
"Прямо перед десятим зображенням.","Right before the tenth picture."
"Kde je prasátko a hrošík? Vyber všechny obrázky, které jsou mezi nimi.","Where is the piglet and the little hippo? Select all the pictures that are between them."
"Všechny mezi jednorožcem a princeznou.","All the ones between the unicorn and the princess."
"Kde je motýl a drak? Vyber obrázky, které jsou mezi nimi.","Where is the butterfly and the dragon? Select the pictures that are between them."
"Všechny mezi brokolicí a lanovkou.","All the ones between the broccoli and the cable car."
"Kde je brokolice a lanovka? Vyber všechny obrázky, které jsou mezi nimi.","Where is the broccoli and the cable car? Select all the pictures that are between them."
"Všechny mezi vejcem a zebrou.","All the ones between the egg and the zebra."
"Všechny mezi lízátkem a tramvají.","All the ones between the lollipop and the tram."
"Byly čtyři obrázky, vidíš dva. Kolik chybí obrázků? Můžeš použít prsty.","There were four pictures, and you see two. How many pictures are missing? You can use your fingers."
"Všechny mezi brokolicí a krávou.","All the pictures between the broccoli and the cow."
"Kde je ovce a diamant? Vyber všechny obrázky, které jsou mezi nimi.","Where are the sheep and the diamond? Choose all the pictures that are between them."
"Kde je netopýr a kde je jahoda? Vyber obrázky, které jsou mezi nimi.","Where is the bat and where is the strawberry? Choose the pictures that are between them."
"Všechny mezi vejcem a melounem.","All the pictures between the egg and the watermelon."
"Co znamená všechny mezi kočkou a lanovkou?","What does it mean, all the pictures between the cat and the cable car?"
"Kde je list a svíčka? Vyber obrázek, který je mezi nimi.","Where are the leaf and the candle? Choose the picture that is between them."
"Kde je listnatý strom a květina? Vyber všechny obrázky, které jsou mezi nimi.","Where is the leafy tree and the flower? Choose all the pictures that are between them."
"Všechny mezi motýlem a jednorožcem.","All the pictures between the butterfly and the unicorn."
"Všechny mezi šaty a hroznem.","All the pictures between the dress and the grapes."
"Kde jsou šaty a hrozen? Vyber obrázek, který je mezi nimi.","Where are the dress and the grapes? Choose the picture that is between them."
"Амьтан биш гэдэг нь хүн байж болно.","If it's not an animal, it can be a person."
"Шумуул ба усны үхрийн хооронд гэж юу вэ?","What is between a mosquito and a hippopotamus?"
"Що означає дев’ята картинка?","What does the ninth picture mean?"
"Všechny mezi prasátkem a vrtulníkem.","All the ones between the piglet and the helicopter."
"Kde je labuť a mrkev? Vyber všechny obrázky, které jsou mezi nimi.","Where is the swan and the carrot? Choose all the pictures that are between them."
"Všechny mezi kaštanem a mrkví.","All the ones between the chestnut and the carrot."
"Co znamená mezi kaštanem a mrkví?","What does ""between the chestnut and the carrot"" mean?"
"Скільки там було зображень? Зараз ти бачиш три. Скільки їх бракує?","How many pictures were there? Now you see three. How many are missing?"
"Kde je kočka a meloun? Vyber všechny obrázky, které jsou mezi nimi.","Where is the cat and the watermelon? Choose all the pictures that are between them."
"Co znamená všechny mezi okurkou a zmrzlinou?","What does “all between the cucumber and the ice cream” mean?"
"Všechny mezi žirafou a kukuřicí.","All between the giraffe and the corn."
"Být modrý znamená mít barvu jako nebe nebo voda.","To be blue means to have the color of the sky or water."
